Tweet text,ID,Label,text_label,split
@HMRCcustomers No this is my first job,0,2,no complaint,0
"@KristaMariePark Thank you for your interest! If you decide to cancel, you can call Customer Care at 1-800-NYTIMES.",1,2,no complaint,0
If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,2,1,complaint,0
@EE On Rosneath Arial having good upload and download speeds but terrible latency 200ms. Why is this.,3,1,complaint,0
"Couples wallpaper, so cute. :) #BrothersAtHome",4,2,no complaint,0
"@mckelldogs This might just be me, but-- eyedrops? Artificial tears are so useful when you're sleep-deprived and sp… https://t.co/WRtNsokblG",5,2,no complaint,0
@Yelp can we get the exact calculations for a business rating (for example if its 4 stars but actually 4.2) or do we use a 3rd party site?,6,2,no complaint,0
@nationalgridus I have no water and the bill is current and paid. Can you do something about this?,7,1,complaint,0
"Never shopping at @MACcosmetics again. Every time I go in there, their employees are super rude/condescending. I'll take my $$ to @Sephora",8,1,complaint,0
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,9,2,no complaint,0
@NortonSupport Thanks much.,10,2,no complaint,0
@VerizonSupport all of a sudden I can't connect to my primary wireless network but guest one works,11,2,no complaint,0
Aaaahhhhh!!!! My @Razer @PlayOverwatch d.va meka headset came in!!! I didn't even know it had shipped!!! So excited… https://t.co/4gXy9xED8d,12,2,no complaint,0
@Lin_Manuel @jmessinaphoto @VAMNit Omg a little squish!!!!! Enjoy and congrats!!!! I miss mine being so young! ������,13,2,no complaint,0
@IanJamesPoulter What's your secret to poaching eggs? Mine NEVER look that good.,14,2,no complaint,0
@AWSSupport When will be able Kinesis Firehose compatible with Elasticsearch 6.0? Thank you!,15,2,no complaint,0
@NCIS_CBS https://t.co/eeVL9Eu3bE,16,2,no complaint,0
@msetchell Via the settings? That’s how I do it on master T’s,17,2,no complaint,0
"Today at work there was a low flying duck heading toward a crowd of people, and I yelled ""watch out! and I'm very disappointed with myself.",18,2,no complaint,0
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,19,1,complaint,0
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,20,1,complaint,0
@ZARA_Care I've been waiting on a reply to my tweets and DMs for days now?,21,1,complaint,0
"New Listing! Large 2 Family Home for Sale in #Passaic Park, #NJ #realestate #homesforsale Great Location!… https://t.co/IV4OrLXkMk",22,2,no complaint,0
